State,Total murders1,Total firearms,Handguns,Rifles,Shotguns,Firearms (type unknown),Knives or cutting instruments,Other weapons,"Hands, fists, feet, etc.2"
Alabama,338.0,262.0,241.0,1.0,20.0,0.0,24.0,35.0,17.0
Alaska,27.0,13.0,9.0,1.0,3.0,0.0,1.0,6.0,7.0
Arizona,405.0,290.0,243.0,15.0,16.0,16.0,45.0,45.0,25.0
Arkansas,157.0,110.0,65.0,1.0,9.0,35.0,17.0,25.0,5.0
California,2142.0,1487.0,1156.0,48.0,64.0,219.0,294.0,241.0,120.0
Colorado,151.0,86.0,50.0,3.0,2.0,31.0,31.0,17.0,17.0
Connecticut,112.0,71.0,46.0,1.0,0.0,24.0,27.0,11.0,3.0
Delaware,57.0,44.0,29.0,0.0,2.0,13.0,6.0,5.0,2.0
Georgia,614.0,435.0,371.0,20.0,13.0,31.0,73.0,98.0,8.0
Hawaii,25.0,11.0,7.0,1.0,2.0,1.0,8.0,0.0,6.0
Idaho,23.0,14.0,9.0,2.0,3.0,0.0,0.0,3.0,6.0
Illinois,530.0,421.0,412.0,3.0,1.0,5.0,48.0,50.0,11.0
Indiana,306.0,220.0,134.0,16.0,4.0,66.0,28.0,39.0,19.0
Iowa,74.0,25.0,13.0,2.0,4.0,6.0,16.0,20.0,13.0
Kansas,110.0,61.0,41.0,2.0,3.0,15.0,15.0,17.0,17.0
Kentucky,182.0,121.0,78.0,8.0,13.0,22.0,25.0,27.0,9.0
Louisiana,390.0,309.0,241.0,20.0,12.0,36.0,33.0,34.0,14.0
Maine,31.0,11.0,6.0,2.0,0.0,3.0,10.0,4.0,6.0
Maryland,493.0,353.0,328.0,4.0,13.0,8.0,61.0,51.0,28.0
Massachusetts,164.0,89.0,59.0,2.0,0.0,28.0,49.0,23.0,3.0
Michigan,536.0,375.0,165.0,16.0,8.0,186.0,40.0,94.0,27.0
Minnesota,106.0,54.0,51.0,1.0,2.0,0.0,22.0,22.0,8.0
Mississippi,184.0,142.0,115.0,4.0,11.0,12.0,15.0,20.0,7.0
Missouri,455.0,349.0,172.0,25.0,15.0,137.0,41.0,53.0,12.0
Montana,23.0,11.0,5.0,3.0,1.0,2.0,4.0,4.0,4.0
Nebraska,22.0,9.0,1.0,1.0,2.0,5.0,4.0,8.0,1.0
Nevada,163.0,93.0,60.0,1.0,6.0,26.0,27.0,35.0,8.0
New Hampshire,12.0,2.0,1.0,1.0,0.0,0.0,3.0,7.0,0.0
New Jersey,376.0,236.0,202.0,1.0,3.0,30.0,67.0,39.0,34.0
New Mexico,134.0,88.0,70.0,4.0,7.0,7.0,22.0,13.0,11.0
New York,835.0,475.0,107.0,12.0,20.0,336.0,184.0,147.0,29.0
North Carolina,586.0,362.0,261.0,22.0,25.0,54.0,54.0,102.0,68.0
North Dakota,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Ohio,460.0,293.0,175.0,5.0,5.0,108.0,38.0,90.0,39.0
Oklahoma,212.0,128.0,106.0,6.0,10.0,6.0,33.0,28.0,23.0
Oregon,82.0,47.0,24.0,2.0,2.0,19.0,16.0,18.0,1.0
Pennsylvania,700.0,521.0,398.0,15.0,16.0,92.0,66.0,86.0,27.0
Rhode Island,29.0,18.0,9.0,0.0,0.0,9.0,6.0,4.0,1.0
South Carolina,304.0,206.0,125.0,9.0,18.0,54.0,31.0,43.0,24.0
South Dakota,22.0,13.0,4.0,0.0,2.0,7.0,1.0,7.0,1.0
Tennessee,408.0,240.0,170.0,11.0,19.0,40.0,53.0,91.0,24.0
Texas,1372.0,895.0,706.0,58.0,52.0,79.0,230.0,140.0,107.0
Utah,41.0,19.0,16.0,0.0,0.0,3.0,8.0,8.0,6.0
Vermont,17.0,8.0,4.0,3.0,0.0,1.0,0.0,6.0,3.0
Virginia,366.0,240.0,121.0,12.0,13.0,94.0,54.0,61.0,11.0
Washington,190.0,110.0,82.0,2.0,10.0,16.0,32.0,25.0,23.0
West Virginia,55.0,33.0,14.0,2.0,10.0,7.0,5.0,13.0,4.0
Wisconsin,146.0,80.0,51.0,7.0,3.0,19.0,25.0,22.0,19.0
Wyoming,10.0,4.0,2.0,0.0,0.0,2.0,3.0,1.0,2.0
