State,"Total
murders1","Total
firearms",Handguns,Rifles,Shotguns,"Firearms
(type
unknown)","Knives or
cutting
instruments","Other
weapons","Hands, fists,
feet, etc.2"
Alaska,29.0,16.0,5.0,0.0,3.0,8.0,6.0,5.0,2.0
Arizona,339.0,222.0,165.0,14.0,9.0,34.0,49.0,59.0,9.0
Arkansas,153.0,110.0,52.0,4.0,6.0,48.0,22.0,17.0,4.0
California,1790.0,1220.0,866.0,45.0,50.0,259.0,261.0,208.0,101.0
Colorado,147.0,73.0,39.0,3.0,5.0,26.0,22.0,31.0,21.0
Connecticut,128.0,94.0,54.0,1.0,1.0,38.0,18.0,10.0,6.0
Delaware,41.0,28.0,18.0,0.0,3.0,7.0,8.0,2.0,3.0
District of Columbia,108.0,77.0,37.0,0.0,1.0,39.0,21.0,9.0,1.0
Georgia,522.0,370.0,326.0,16.0,16.0,12.0,61.0,83.0,8.0
Hawaii,7.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0
Idaho,32.0,17.0,15.0,1.0,0.0,1.0,4.0,8.0,3.0
Illinois,452.0,377.0,364.0,1.0,5.0,7.0,29.0,29.0,17.0
Indiana,284.0,183.0,115.0,9.0,12.0,47.0,36.0,43.0,22.0
Iowa,44.0,19.0,7.0,0.0,2.0,10.0,10.0,10.0,5.0
Kansas,110.0,73.0,31.0,3.0,5.0,34.0,11.0,16.0,10.0
Kentucky,150.0,100.0,77.0,6.0,5.0,12.0,13.0,24.0,13.0
Louisiana,485.0,402.0,372.0,10.0,8.0,12.0,28.0,29.0,26.0
Maine,25.0,12.0,3.0,1.0,1.0,7.0,4.0,7.0,2.0
Maryland,398.0,272.0,262.0,2.0,5.0,3.0,75.0,34.0,17.0
Massachusetts,183.0,122.0,52.0,0.0,1.0,69.0,30.0,22.0,9.0
Michigan,613.0,450.0,267.0,29.0,15.0,139.0,43.0,89.0,31.0
Minnesota,70.0,43.0,36.0,3.0,3.0,1.0,12.0,12.0,3.0
Mississippi,187.0,138.0,121.0,6.0,4.0,7.0,26.0,14.0,9.0
Missouri,364.0,276.0,158.0,13.0,9.0,96.0,28.0,42.0,18.0
Montana,18.0,7.0,2.0,3.0,1.0,1.0,4.0,5.0,2.0
Nebraska,65.0,42.0,35.0,2.0,1.0,4.0,7.0,9.0,7.0
Nevada,129.0,75.0,46.0,2.0,1.0,26.0,20.0,25.0,9.0
New Hampshire,16.0,6.0,1.0,2.0,1.0,2.0,4.0,6.0,0.0
New Jersey,379.0,269.0,238.0,1.0,5.0,25.0,51.0,41.0,18.0
New Mexico,121.0,60.0,45.0,2.0,2.0,11.0,21.0,32.0,8.0
New York,774.0,445.0,394.0,5.0,16.0,30.0,160.0,143.0,26.0
North Carolina,489.0,335.0,235.0,26.0,19.0,55.0,60.0,57.0,37.0
North Dakota,12.0,6.0,3.0,0.0,0.0,3.0,4.0,0.0,2.0
Ohio,488.0,344.0,187.0,8.0,13.0,136.0,44.0,80.0,20.0
Oklahoma,204.0,131.0,99.0,8.0,9.0,15.0,26.0,21.0,26.0
Oregon,77.0,40.0,13.0,1.0,2.0,24.0,22.0,10.0,5.0
Pennsylvania,636.0,470.0,379.0,8.0,19.0,64.0,73.0,66.0,27.0
Rhode Island,14.0,5.0,1.0,0.0,0.0,4.0,5.0,4.0,0.0
South Carolina,319.0,223.0,126.0,10.0,12.0,75.0,38.0,40.0,18.0
South Dakota,15.0,5.0,3.0,1.0,0.0,1.0,4.0,3.0,3.0
Tennessee,373.0,244.0,172.0,7.0,13.0,52.0,51.0,62.0,16.0
Texas,1089.0,699.0,497.0,37.0,48.0,117.0,175.0,134.0,81.0
Utah,51.0,26.0,15.0,4.0,1.0,6.0,5.0,9.0,11.0
Vermont,8.0,4.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0
Virginia,303.0,208.0,110.0,10.0,15.0,73.0,33.0,41.0,21.0
Washington,161.0,79.0,58.0,1.0,3.0,17.0,29.0,36.0,17.0
West Virginia,74.0,43.0,23.0,10.0,3.0,7.0,11.0,13.0,7.0
Wisconsin,135.0,80.0,60.0,7.0,3.0,10.0,21.0,13.0,21.0
Wyoming,15.0,11.0,7.0,0.0,0.0,4.0,0.0,1.0,3.0
Virgin Islands,38.0,31.0,27.0,0.0,0.0,4.0,5.0,2.0,0.0
