State,Score,TotalFirearm,TotalHandgun
WA,14,1.3829936101233944,1.0855756294516965
WI,17,1.7056486511484292,1.1077924229108356
WV,26,1.457097386452988,0.8634651178980669

WY,43,0.8871130856277034,0.0
NH,25,0.3798038540975898,0.15192154163903593
NJ,2,2.7980306413927916,2.4568073924424514
NM,45,3.253722355500733,1.7482687283287521
NC,23,2.9993274584968064,1.9715858818090894
ND,36,0.5947150645786221,0.4460362984339666
NE,32,1.7521371967228463,1.5878743345300794
NY,8,2.6679596724220285,0.6966625837078797
RI,9,1.5200932577213613,0.19001165721517016
NV,29,3.110475191738578,2.110679594394035
CO,27,1.2924531078128592,0.6760523948559571
CA,1,3.3741383062781307,2.5581175862235948
GA,38,3.8812250178397,3.2515581931369826
CT,5,2.7139722285097467,2.0144948500278534
OK,34,2.9589316284200318,2.2925055859830876
OH,22,2.687123011810686,1.5255924196086474
KS,37,2.2081121132123616,1.0514819586725532
SC,31,4.475323455624249,2.940309130265207
KY,46,2.673207113404129,1.7514115570578774
OR,21,0.9396845218036827,0.5220469565576015
SD,35,0.9825837038492716,0.36846888894347685
DE,18,4.231936868411264,2.7841689923758315
HI,4,0.5145919910372778,0.4410788494605238
TX,19,3.201360271898487,2.3105469788484734
LA,28,7.742581019161895,5.801421105525864
TN,20,3.4509313023578367,2.300620868238558
PA,11,3.5977512558867906,2.8892225621672916
VA,16,3.1245973175207045,1.712279330001346
AK,40,2.675185960624079,0.4223977832564335
AL,24,2.8244184574700117,2.3432212387899356
AR,44,3.18938900566168,1.680430766423896
VT,48,0.31962105727449536,0.15981052863724768
IL,6,2.836960798189832,2.7668161630697536
IN,30,2.1900737221999442,1.2801135136802493
IA,13,0.6892348410181377,0.29538636043634475
AZ,50,3.62952840379755,2.377966885246671
ID,49,0.7654760112576007,0.7654760112576007
ME,42,0.828088147724903,0.30112296280905565
MD,7,5.074865524723775,4.711137961518316
MA,3,1.8021790788696184,0.7941806110272894
UT,33,0.7959810194707811,0.5788952868878409
MO,39,5.3598943649977855,3.155825654157575
MN,15,0.9992599819944664,0.8107203627502274
MI,15,4.178624564747687,2.4181386706409134
MT,41,1.212835437434368,0.606417718717184
MS,47,4.044081840084198,3.3026668360687617
